입력번호,발전소명,년월,호기,황산화물기준,황산화물평균,질수산화물기준,질수산화물평균,먼지기준,먼지평균,발전소코드
1,태안,201401,8611,100,38.03558026,150,70.85741981,30,177.7847336,TA
2,태안,201401,8612,100,37.04227648,150,73.24941541,30,6.362778162,TA
3,태안,201401,8613,100,42.45714185,150,75.06955007,30,356.6731138,TA
4,태안,201401,8614,100,31.85511945,150,83.83251195,30,2.480211604,TA
5,태안,201401,8615,100,37.19210784,150,78.25837535,30,11.05458683,TA
6,태안,201401,8616,100,39.36571429,150,77.89197479,30,11.92511905,TA
7,태안,201401,8617,100,29.49049685,150,84.47508048,30,2.014724965,TA
8,태안,201401,8618,100,26.10573643,150,102.6190839,30,39.18662659,TA
9,태안,201402,8611,100,48.47779221,150,77.15763942,30,9.035295455,TA
10,태안,201402,8612,100,44.39687548,150,72.53810542,30,6.353216196,TA
11,태안,201402,8613,100,51.75482993,150,71.78962963,30,6.290918133,TA
12,태안,201402,8614,100,39.16842508,150,93.54485474,30,3.273881279,TA
13,태안,201402,8615,100,37.53947126,150,81.83101916,30,7.340642693,TA
14,태안,201402,8616,100,38.70104101,150,84.58417981,30,11.98584712,TA
15,태안,201402,8617,100,29.76508675,150,88.42074132,30,2.753687151,TA
16,태안,201402,8618,100,27.20164131,150,86.91790232,30,7.82354318,TA
17,태안,201403,8611,100,41.72697531,150,80.17069273,30,9.920656531,TA
18,태안,201403,8612,100,42.4767512,150,82.45298835,30,7.362753425,TA
19,태안,201403,8613,100,45.39625512,150,73.17590041,30,9.175816678,TA
20,태안,201403,8614,100,31.00339237,150,82.66643052,30,4.183233492,TA
21,태안,201403,8615,100,32.75863885,150,88.73915869,30,6.150259918,TA
22,태안,201403,8616,100,38.82145049,150,85.47612971,30,6.92458159,TA
23,태안,201403,8617,100,30.1945028,150,132.732514,30,9.611259899,TA
24,태안,201403,8618,100,26.88230876,150,89.19403338,30,7.891713483,TA
25,태안,201404,8611,100,42.78229122,150,75.59782298,30,8.480935925,TA
26,태안,201404,8612,100,49.61433286,150,83.27346485,30,7.456190818,TA
27,태안,201404,8613,100,41.50494677,150,74.34193754,30,8.822938659,TA
28,태안,201404,8614,100,30.24144381,150,77.67036984,30,3.54076374,TA
29,태안,201404,8615,100,38.44015141,150,85.86291997,30,6.271926407,TA
30,태안,201404,8616,100,150.682853,150,128.6212165,30,793.5778283,TA
31,태안,201404,8617,100,25.09870545,150,85.12946909,30,2.003492647,TA
32,태안,201404,8618,100,22.50242816,150,137.9499353,30,74.34078091,TA
33,태안,201405,8611,100,41.89484203,150,69.16745192,30,10.33337001,TA
34,태안,201405,8612,100,48.06499313,150,83.67589286,30,9.705875862,TA
35,태안,201405,8613,100,49.01925926,150,75.98497257,30,9.949036729,TA
36,태안,201405,8614,100,34.08024072,150,81.49638239,30,4.051774862,TA
37,태안,201405,8615,100,44.29772358,150,90.6677981,30,5.474512855,TA
38,태안,201405,8616,100,46.03762036,150,83.69197387,30,11.04742091,TA
39,태안,201405,8617,100,28.71871866,150,84.74816852,30,1.784409283,TA
40,태안,201405,8618,100,25.14894406,150,85.95658741,30,8.156199575,TA
41,태안,201406,8611,100,44.9137832,150,74.33399139,30,10.65377536,TA
42,태안,201406,8612,100,51.08574074,150,79.97311254,30,10.52246077,TA
43,태안,201406,8613,100,48.22846044,150,80.90857448,30,11.71422993,TA
44,태안,201406,8614,100,41.59923741,150,82.80274101,30,4.776314655,TA
45,태안,201406,8615,100,43.46827852,150,87.586683,30,53.84020994,TA
46,태안,201406,8616,100,48.51372207,150,83.33497905,30,8.074022346,TA
47,태안,201406,8617,100,30.39156566,150,89.33080808,30,1.75487699,TA
48,태안,201406,8618,100,29.0294775,150,90.10883164,30,5.710376384,TA
49,태안,201407,8611,100,45.83422069,150,77.55577241,30,10.23042509,TA
50,태안,201407,8612,100,50.91449623,150,80.65766278,30,10.90600414,TA
51,태안,201407,8613,100,57.49590784,150,83.46544704,30,12.29682353,TA
52,태안,201407,8614,100,45.73337884,150,82.40872355,30,5.939638225,TA
